,roles,companies,locations,experience,skills
77,only fresher / data scientist / data analyst / business analytics- mnc,gaba consultancy services,"['Delhi NCR', ' Ghaziabad', ' Gurgaon']",2-6 yrs,"['O2C', 'fresher data analyst', 'Power Bi', 'Banking', 'Data Management', 'Tableau', 'Marketing Analytics', 'graduate fresher']"
78,data scientist opening,ojas innovative technologies private limited,"['Chennai', ' Pune', ' Delhi NCR', ' Mumbai', ' Bengaluru', ' Hyderabad', ' Kolkata']",2-6 yrs,"['IT Skills', 'Python', 'Data scientist', 'Python']"
79,data scientist,indorama ventures,"['Mumbai', ' Kolkata']",2-6 yrs,"['Data Science', 'R Shiny', 'Python', 'Predictive Modeling', 'Advanced Analytics', 'Data Visualization', 'Tableau', 'Data Analytics']"
80,only fresher / data scientist / data analyst / business analytics- mnc,gaba consultancy services,"['Faridabad', ' Delhi NCR', ' Greater Noida']",0-0 yrs,"['O2C', 'fresher data analyst', 'Power Bi', 'Banking', 'Data Management', 'Tableau', 'Marketing Analytics', 'graduate fresher']"
81,senior data scientist,symbiosis international w.l.l,['Dubai/ UAE'],0-0 yrs,"['Cloudera', 'SCALA', 'Impala', 'Cdh', 'Spark', 'Machine Learning', 'Python']"
82,senior data scientist,"fetch rewards, inc.",['Remote'],0-0 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'AWS', 'Tableau', 'Computer science']"
83,principle data scientist,larsen & toubro infotech limited,['India'],0-0 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Cloud', 'AWS', 'Cloud computing', 'Automation']"
84,data scientist,neemtree internet pvt ltd,['India'],0-0 yrs,"['Computer science', 'Text mining', 'Business objects', 'Data analysis', 'Simulation', 'Business intelligence', 'Data mining', 'Analytics']"
85,data scientist | contract on deloitte payroll | bangalore,deloitte,['Bengaluru'],0-0 yrs,"['Data Science', 'Predictive Modeling', 'Logistic Regression', 'SQL']"
86,senior data scientist/lead,rxlogix corporation india pvt ltd,['Noida(Sector-125 Noida)'],0-0 yrs,"['Natural Language Processing', 'Machine Learning', 'Python', 'IT Skills', 'Java', 'Python', 'Software Development', 'AWS']"
87,data scientist,microsoft corporation,"['Hyderabad', ' telangana']",0-0 yrs,"['IT Skills', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Business process', 'Data analysis', 'PAAS']"
88,principal data scientist,"fanatics, inc.",['Hyderabad'],0-0 yrs,"['Procurement', 'Supply chain', 'Computer science', 'Data analysis', 'Analytical', 'Data processing', 'Data mining', 'Monitoring']"
89,data scientist,innomatics research labs,['Hyderabad(Kukatpally)'],0-0 yrs,"['Artificial Intelligence', 'Neural Networks', 'Tableau', 'Machine Learning', 'Statistics', 'Deep Learning', 'SQL', 'Data Science']"
90,associate data scientist,corsalite education services private limited,['Hyderabad'],0-0 yrs,"['IT Skills', 'Python', 'Nginx', 'composer', 'Data Mining', 'Al', 'gunicorn', 'NLTK']"
